ID;Name;Kategorie;Icon;Vorschlaege;SaisonMonate
apfel;Äpfel;Obst;Apple;Gala,Elstar,Braeburn,Granny Smith,1kg,500g;8,9,10,11
banane;Bananen;Obst;Banana;Chiquita,Bio,1 Büschel,500g,1kg,3 Stk;
erdbeeren;Erdbeeren;Obst;Cherry;500g Schale,250g,Bio,1kg;5,6,7
himbeeren;Himbeeren;Obst;Cherry;125g,250g,Frisch;6,7,8
heidelbeeren;Heidelbeeren / Blaubeeren;Obst;Cherry;125g,250g,Bio;6,7,8,9
brombeeren;Brombeeren;Obst;Cherry;125g Schale,Frisch;7,8,9
johannisbeeren;Johannisbeeren;Obst;Cherry;Rot,Schwarz,250g;6,7
stachelbeeren;Stachelbeeren;Obst;Cherry;Grün,Rot,500g;6,7
zitronen;Zitronen;Obst;Citrus;Bio unbehandelt,Netz 500g,2 Stk;
limette;Limetten;Obst;Citrus;Unbehandelt,3er Pack,1 Stk;
orangen;Orangen;Obst;Citrus;Saftorangen,1.5kg Netz,Bio;11,12,1,2,3
blutorange;Blutorangen;Obst;Citrus;1kg Netz,Sizilianisch;1,2,3
mandarinen;Mandarinen;Obst;Citrus;Clementinen,1kg Kiste,Kernlos;11,12,1
clementinen;Clementinen;Obst;Citrus;Kernlos,750g Beutel;11,12,1
grapefruit;Grapefruit;Obst;Citrus;Rosa,Rot,2 Stk;11,12,1,2
kumquats;Kumquats;Obst;Citrus;250g Schale,Bio;
weintrauben;Weintrauben;Obst;Cherry;Kernlos,Helle Trauben,Dunkle Trauben,500g;8,9,10
birne;Birnen;Obst;Apple;Abate Fetel,Williams,1kg;8,9,10,11
kiwi;Kiwis;Obst;Apple;Grün,Gold,4 Stk;
wassermelone;Wassermelone;Obst;Apple;1/2 Melone,1/4 Melone,Ganz;6,7,8
galiamelone;Galiamelone;Obst;Apple;1 Stk,Süß;6,7,8
honigmelone;Honigmelone;Obst;Apple;Gelb,1 Stk;6,7,8
cantaloupe;Cantaloupe-Melone;Obst;Apple;1 Stk,Süß;6,7,8
pfirsich;Pfirsiche;Obst;Apple;Plattpfirsiche,1kg,500g;6,7,8,9
nektarine;Nektarinen;Obst;Apple;Gelbfleischig,Weißfleischig,1kg;6,7,8,9
aprikose;Aprikosen;Obst;Apple;500g Schale,1kg;6,7,8
kirschen;Kirschen;Obst;Cherry;Süßkirschen,Sauerkirschen,500g;6,7
pflaumen;Pflaumen;Obst;Apple;Blau,500g,1kg;7,8,9
zwetschgen;Zwetschgen;Obst;Apple;1kg Korb,Zum Backen;8,9
mirabellen;Mirabellen;Obst;Apple;Gelb,500g;8,9
ananas;Ananas;Obst;Apple;Sweet,1 Stk,Flugananas;
mango;Mango;Obst;Apple;Essreif,Flugmango,1 Stk;
papaya;Papaya;Obst;Apple;1 Stk,Bio;
feigen;Feigen;Obst;Apple;Frisch 4er Pack,Türkisch;8,9,10
datteln;Datteln;Obst;Nut;Medjool 200g,Getrocknet;
granatapfel;Granatapfel;Obst;Apple;1 Stk,Kerne;9,10,11,12
maracuja;Maracuja / Passionsfrucht;Obst;Apple;2 Stk,Süß;
drachenfrucht;Drachenfrucht;Obst;Apple;Rot,Weiß,1 Stk,Pitaya;
kaki;Kaki / Sharonfrucht;Obst;Apple;Essreif,2 Stk;10,11,12,1
preiselbeeren;Preiselbeeren;Obst;Cherry;Glas 250g,Frisch;
cranberrys;Cranberrys;Obst;Cherry;Frisch 300g,Getrocknet;
rhabarber;Rhabarber;Obst;Carrot;1 Bund,500g;4,5,6
lychee;Litchis;Obst;Cherry;Frisch 250g;12,1
kokosnuss;Kokosnuss;Obst;Nut;1 Stk,Trinkkokosnuss;
quitten;Quitten;Obst;Apple;1kg,Zum Gelee;9,10,11
sanddorn;Sanddorn;Obst;Cherry;Beeren,Saft 330ml;
physalis;Physalis;Obst;Cherry;100g Schale,Kapstachelbeere;
sternfrucht;Sternfrucht (Carambola);Obst;Star;1 Stk,Deko;
guave;Guave;Obst;Apple;1 Stk,Frisch;
hagebutten;Hagebutten;Obst;Cherry;Tee,Frisch;
tomaten;Tomaten;Gemüse;Carrot;Strauchtomaten,Rispen,Cocktail,Roma,500g;6,7,8,9
gurke;Gurke;Gemüse;Carrot;Salatgurke,Mini-Gurken,1 Stk,2 Stk;6,7,8,9
zucchini;Zucchini;Gemüse;Carrot;Grün,Gelb,500g,2 Stk;6,7,8,9
